external_id,name,short_description,long_description,street_address_1,street_address_2,city,state,zip_code,phone,email,website,instagram_account,primary_photo_url,photo_urls,is_active
10,Wild Air,"Casual and creative culinary stylings in the form of shareable small plates, alongside an all-natural wine list of highly drinkable bottles.
","To call Wildair a wine bar is to vastly undersell it - an offshoot of Contra, the neighboring venture from chef owners Jeremiah Stone and Fabian von Hauske offers a more casual but no less creative taste of their whimsical culinary stylings in the form of shareable small plates, alongside an all-natural wine list of highly drinkable bottles from extraordinary producers around the world. Make sure to save room for dessert.",142 Orchard Street,,New York,NY,10002,,,https://www.wildair.nyc/,wildairnyc,https://cdn.sanity.io/images/h20inf57/production/cb4aeaa69c4a717608801e4b95737df4f182de48-2048x1367.jpg?w=2440&auto=format,"[""https://cdn.sanity.io/images/h20inf57/production/609165ceabc4f5913b228696ba64ce3c58ad37de-2510x1666.png?w=2440&auto=format"",""https://cdn.sanity.io/images/h20inf57/production/069a8a58d1cd7fea14d0d1282f97629000654740-1200x800.jpg?w=2440&auto=format"",""https://cdn.sanity.io/images/h20inf57/production/d6a9bf51c6270bc040a4ce2b5a1fd605a11643b5-1280x720.jpg?w=2440&auto=format"",""https://cdn.sanity.io/images/h20inf57/production/cb4aeaa69c4a717608801e4b95737df4f182de48-2048x1367.jpg?w=2440&auto=format""]",TRUE
55,All Time,Tyler and Ashley Wells' all-day cafe in the heart of Los Feliz with culinary offerings and sprawling indoor-outdoor dining.,"Tyler and Ashley Wells' all-day cafe in the heart of Los Feliz traverses a lot of territory, both in terms of its culinary offerings and the physical space. It's the rare neighborhood gem that offers a dependable menu of coffee, pastries, and lunch options during daylight hours, and a destination-worthy dinner spread, including slabs of focaccia slathered with burrata and sungolds, as well as the matter of factly named ""good ass salad"" and ""big steak event."" The sprawling indoor-outdoor dining area can be sectioned off to accommodate groups. The open air greenhouse seats up to twelve, and the outdoor deck offers seating for 20. (These adjacent spaces can also be booked together, though they are not continuous). For indoor dining, the wine room accommodates up to ten seated guests, and includes its own private entrance and restroom.",2040 Hillhurst Avenue,,Los Angeles,CA,90027,,,https://alltimelosangeles.com/,freakinalltime,https://cdn.sanity.io/images/h20inf57/production/baec781b637d548d1ce7f119e57550e50d817a8f-1024x682.jpg,"[""https://cdn.sanity.io/images/h20inf57/production/501d8a8e815fa8b641a56ed064b2e6227bb553de-1440x1800.jpg"",""https://cdn.sanity.io/images/h20inf57/production/7c265d988d2bdfbd6f52ffa837a846d25e7e56d1-683x1024.jpg""]",TRUE
56,A.O.C.,Chef Suzanne Goin's elegant seasonal California cooking with easy yet sophisticated dishes.,"Chef Suzanne Goin has made a name for herself with easy yet elegant seasonal California cooking, working under fellow Golden State icons like Alice Waters and Mark Peel before opening her first restaurant, Lucques, in 1998. At A.O.C., her beloved West Hollywood wine bar, the effortlessly chic cooking is perfectly matched by a beautifully homey atmosphere, including a main dining room replete with hefty dark wooden beams and a rustic fireplace, as well as an adjacent vine-wrapped garden accented with laurel trees.",8700 West 3rd Street,,Los Angeles,CA,90048,,,https://www.aocwinebar.com/,aocla,https://cdn.sanity.io/images/h20inf57/production/2205943fa9d997731942fe392b9be2892029d967-960x640.webp?w=960&auto=format,"[""https://cdn.sanity.io/images/h20inf57/production/7bd186c336ec41b3428804da554ee68496478d26-1440x1440.jpg?w=2440&auto=format"",""https://cdn.sanity.io/images/h20inf57/production/e092d9637e33296d70756f3b53c4915fa454a616-960x518.webp?w=2440&auto=format"",""https://cdn.sanity.io/images/h20inf57/production/dcc66d662ef2c3953e16bfeaa2787e7a83592907-960x518.webp?w=2440&auto=format""]",TRUE
57,Alta Adams,Chefs Keith Corbin and Daniel Patterson's restaurant offering innovative dishes and flexible seating arrangements.,"Chefs Keith Corbin and Daniel Patterson first met at LocoL... or a ""half seated"" layout for 30 guests with a dedicated standing area for cocktails.",5259 West Adams Boulevard,,Los Angeles,CA,90016,,,https://altaadams.com/,altarestaurant,https://cdn.sanity.io/images/h20inf57/production/6486a128740189fe8f177c62ca4f1545be6dc150-1024x682.webp?w=960&auto=format,[],TRUE
58,Altro Paradiso,Italian cafe from chef Ignacio Mattos with seasonal menu and high ceilings overlooking Sixth Avenue.,"This Italian cafe from chef Ignacio Mattos offers a seasonal menu of ingredient-driven antipasti and excellent housemade pastas, alongside a small but frequently changing selection of meat and fish secondi. While the food and aesthetic both draw from Estela’s signature understated elegance, the space itself is considerably larger, with high ceilings and windows peering out onto Sixth Avenue.",234 Spring Street,,New York,NY,10013,,,https://altroparadiso.com/,altroparadiso,https://cdn.sanity.io/images/h20inf57/production/12669358de1c50fd8899752d39d68960ff8f7b98-1200x800.jpg?w=2440&auto=format,"[""https://cdn.sanity.io/images/h20inf57/production/2ffe3edee109d0a1a66ab6ca7116993861b15778-1436x712.png?w=2440&auto=format"",""https://cdn.sanity.io/images/h20inf57/production/c7ca6d50b1f05adc603c8fa0993910e6c3748f4a-1437x716.png?w=2440&auto=format"",""https://cdn.sanity.io/images/h20inf57/production/ebee303ca6e617f0d55cef5f8f6e0fa17fb98a1b-761x400.jpg?w=2440&auto=format"",""https://cdn.sanity.io/images/h20inf57/production/ce0f423ea08eed48261b030312ddefa6825ee561-1200x800.jpg?w=2440&auto=format""]",TRUE
59,Bamonte's,Family-owned Williamsburg spot serving traditional Italian-American cuisine since 1900.,"Since 1900, this family-owned spot in Williamsburg... maybe you're just not that fun.",32 Withers Street,,Brooklyn,NY,11211,,,https://bamontes.club/,bamontesrestaurant,https://cdn.sanity.io/images/h20inf57/production/d1aab1143d5a3ac1db2f5085dbb44f2e91454eca-1480x1094.png?w=960&auto=format,[],TRUE
60,Chinese Tuxedo,Located in building that once housed New York's first Chinese theater with eclectic mix of offerings.,"Located in the building that once housed New York's first Chinese theater... an eclectic mix, but it works.",5 Doyers Street,,New York,NY,10013,,,https://www.chinesetuxedo.com/,chinesetuxedo,https://cdn.sanity.io/images/h20inf57/production/739eff7d3a80671f4d1d574d8f2f6729de09b30d-1091x757.png?w=960&auto=format,[],TRUE
61,Cherry On Top,Former Oddfellows Ice Cream factory in Bushwick perfect for parties up to 70 guests.,Based out of a former Oddfellows Ice Cream factory in Bushwick... perfect for parties of up to 70.,379 Suydam Street,,Brooklyn,NY,11237,,,https://www.cherryontop.nyc/,cherry.on.top.nyc,https://cdn.sanity.io/images/h20inf57/production/f2719762b57bbe52fce17efa3e29497a7763511d-1440x1800.jpg?w=960&auto=format,[],TRUE
62,Charlie Bird,White tablecloth quality service in comfortably hip setting with something for every palate.,Offering white tablecloth quality service in a comfortably hip setting... something for every palate (and price point).,5 King Street,,New York,NY,10012,,,https://www.charliebirdnyc.com/,charliebirdnyc,https://cdn.sanity.io/images/h20inf57/production/aac34f306880562453b2c4df6d5ee30ef06a2056-1920x1276.jpg?w=960&auto=format,[],TRUE
63,Casino,Looking to feel like main characters with strong cocktails and soft jazz atmosphere.,If you and your crew are looking to feel like main characters... filled with strong cocktails and soft jazz.,171 E Broadway,,New York,NY,10002,,,https://www.casinonyc.com/,casino.ny,https://cdn.sanity.io/images/h20inf57/production/3b5fd85999ec41700cc5f618f4e0edbaced8b57a-8139x5429.jpg?w=960&auto=format,[],TRUE
