deal.external_id,deals.budget_notes
D-151," $3,250 Flat Project Fee"
D-040,
D-138,
D-087,<$100k
D-008,<$100k
D-183,"~$400K estimate based on $2,000/unit × 200 units"
D-251,$1.2M
D-071,$100K all-in
D-166,$10k
D-103,$10k
D-252,$10k
D-273,$10k
D-277,$12.5k
D-189,"$12.5K Fixed fee for concepting and building the Event Menu 
+ Commission: 15% of the full listing price of any plus up that is booked from CoC Events Menu"
D-203,$125k
D-211,$150-200k
D-118,$150k
D-220,$150k
D-174,$150k all-in
D-162,$150K-$250K
D-217,$15k
D-011,"$186,450 all in expenses"
D-298,$1M
D-206,$1M-$2M
D-007,$200k
D-135,$20k
D-219,$20k production budget per event
D-171,$225k
D-145,$225K all-in (NY + LA)
D-060,$250k all in
D-258,$250k flexible up to $1M
D-113,$250K-$500K
D-240,"$255,000 all-in"
D-152,$255k all in
D-173,$25k
D-233,$25k
D-009,$25k
D-109,$25k
D-097,$30k all in
D-155,"$30k, all in"
D-205,$400k
D-075,$45k
D-041,$4K/month - Annual Term ($48k)
D-196,$50-60k
D-210,$50k
D-167,$53k
D-156,$5K per month (2.5 month term = $12.5K all-in)
D-168,$60k
D-226,$60k all in for 2 events
D-160,$65K all-in
D-199,$6k
D-245,$7.5K/month - Annual Term ($90k)
D-368,$700K-$800K
D-027,$70k all in
D-077,$70K all-in expenses
D-225,$750K-$1M
D-112,$75K or less
D-107,$75K or less
D-272,$75K-$150K
D-148,$75k+
D-017,$77.5K
D-209,$77K all-in
D-202,$7k all-in
D-276,"$8K/month - Annual Term ($96k)
+ 10% commission for any brand events and public ticket sales that we secure for the La Résidence venue."
D-130,$90K all-in
D-083,No budget; client is looking to CoC to help connect them with a brand who would pay for the trip + travel
D-028,No budget; this was just an inquiry about CoC services
D-232,
D-257,
D-260,
D-070,
D-279,
D-161,
D-044,
D-131,
D-140,
D-267,
D-079,
D-074,
D-244,
D-228,
D-188,
D-180,
D-059,
D-038,
D-088,
D-081,
D-051,
D-053,
D-200,
D-031,
D-261,
D-215,
D-064,
D-006,
D-129,
D-204,
D-003,
D-086,
D-142,
D-052,
D-047,
D-143,
D-043,
D-048,
D-029,
D-084,
D-067,
D-139,
D-115,
D-072,
D-055,
D-175,
D-073,
D-123,
D-066,
D-127,
D-096,
D-181,
D-032,
D-236,
D-159,
D-241,
D-035,
D-164,
D-182,
D-239,
D-124,
D-134,
D-179,
D-198,
D-078,
D-193,
D-122,
D-185,
D-187,
D-126,
D-002,
D-194,
D-141,
D-010,
D-177,
D-108,
D-085,
D-018,
D-264,
D-208,
D-207,
D-034,
D-192,
D-158,
D-022,
D-222,
D-439,
D-125,
D-128,
D-365,
D-270,
D-299,
D-364,
D-278,
D-367,
D-030,
D-234,
D-349,
D-247,
D-001,
D-098,
D-190,
D-133,
D-104,
D-440,"NY Event: $125k
St. Barths: $150k"
D-275,
D-237,
D-163,"TBC *it was $1M for the VIP Trip + Pop-Up, but I am waiting on Cam to confirm what the new budget would look like without the Pop-Up piece. We can use Puglia budget as a rule of thumb. "
D-216,TBC; $75K or less
D-248,Zero budget; Client thought CoC might want to sponsor 
D-415,
D-461,
D-304,
D-154,
D-105,
D-357,
D-423,
D-297,
D-389,
D-387,
D-391,
D-428,
D-289,
D-254,
D-285,
D-037,
D-016,
D-025,
D-446,
D-472,
D-046,
D-015,
D-197,
D-350,
D-408,
D-354,
D-456,
D-283,
D-292,
D-101,
D-042,
D-221,
D-268,
D-403,
D-062,
D-287,
D-437,
D-057,
D-049,
D-302,
D-468,
D-378,
D-063,
D-372,
D-366,
D-448,
D-353,
D-429,
D-333,
D-410,
D-308,
D-061,
D-068,
D-024,
D-336,
D-263,
D-355,
D-421,
D-076,
D-178,
D-050,
D-383,
D-374,
D-294,
D-307,
D-465,
D-377,
D-082,
D-407,
D-065,
D-441,
D-157,
D-401,
D-400,
D-379,
D-056,
D-348,
D-370,
D-363,
D-356,
D-092,
D-418,
D-346,
D-094,
D-371,
D-335,
D-315,
D-352,
D-100,
D-345,
D-347,
D-464,
D-427,
D-091,
D-420,
D-325,
D-414,
D-293,
D-359,
D-344,
D-114,
D-256,
D-095,
D-019,
D-455,
D-454,
D-434,
D-435,
D-433,
D-116,
D-393,
D-119,
D-132,
D-229,
D-281,
D-470,
D-282,
D-382,
D-235,
D-405,
D-318,
D-144,
D-295,
D-013,
D-343,
D-265,
D-390,
D-045,
D-331,
D-150,
D-149,
D-436,
D-386,
D-005,
D-342,
D-474,
D-443,
D-406,
D-475,
D-329,
D-351,
D-362,
D-321,
D-305,
D-309,
D-330,
D-395,
D-212,
D-317,
D-137,
D-459,
D-419,
D-392,
D-375,
D-117,
D-447,
D-169,
D-176,
D-398,
D-381,
D-186,
D-340,
D-274,
D-099,
D-460,
D-303,
D-314,
D-230,
D-404,
D-300,
D-402,
D-026,
D-416,
D-136,
D-376,
D-021,
D-224,
D-080,
D-271,
D-384,
D-058,
D-413,
D-020,
D-358,
D-453,
D-195,
D-269,
D-467,
D-106,
D-426,
D-191,
D-445,
D-473,
D-449,
D-450,
D-438,
D-422,
D-451,
D-452,
D-397,
D-399,
D-424,
D-394,
D-471,
D-442,
D-288,
D-463,
D-165,
D-284,
D-431,
D-341,
D-227,
D-327,
D-409,
D-458,
D-430,
D-444,
D-231,
D-369,
D-466,
D-380,
D-385,
D-280,
D-462,
D-313,
D-373,
D-286,
D-469,
D-311,
D-223,
D-323,
D-322,
D-337,
D-296,
D-306,
D-324,
D-334,
D-457,
D-290,
D-316,
D-338,
D-396,
D-213,
D-201,
D-388,
D-170,
D-417,
D-242,
D-246,
D-089,
D-033,
D-243,
D-320,
D-332,
D-360,
D-328,
D-361,
D-319,
D-214,
D-102,
D-111,
D-238,
D-425,
D-250,
D-249,
D-253,
D-184,
D-147,
D-259,
D-014,
D-291,
D-339,
D-301,
D-172,
D-411,
D-326,
D-121,
D-120,
D-312,
D-412,
D-432,
D-110,
D-146,
D-090,
D-023,
D-266,
D-218,
D-093,
D-036,
D-255,
D-012,
D-153,
D-310,
D-054,
D-039,
D-262,
D-069,
D-004,
