external_id,notes
1,"Client will update us next week on whether Etsy (and possibly Shopify) are moving forward and with what timing and budget. Once you know that, we'll schedule a short intake call to define scope (creative vs full production), costs, and a plan, while keeping Ace as a larger 2026 project to scope later. SY 12/17"
2,SY to schedule intake call; perfect RTH client. SY 12/16
3,Sue having breakfast with client in Jan. SY 12/16
4,Follow up in early January for event. That's when staff will be trained and product will be in TAO. SY 12/11
5,SY has intake call in January. SY 12/18
6,Nurture relationship for future opps. Invite to the next networking event. SY 12/10
7,Nurture relationship for future opps. SY 12/10
8,Nurture relationship for future opps. SY 12/10
9,Strong culinary/lifestyle brand fit. Great candidate for partnerships and event invitations. Sue and Gaby setting up coffee. SY 12/12
10,JBF offered to intro CoC to events team. SY 12/10
11,We worked with her team recently on the Wild Cherry event. Strong relationship to nurture; ideal for future Dior or LVMH experiential moments. SY 12/10
12,NB had intake call. Awaiting client brief. SY 12/17
13,"Client following up with 2026 show calendar. Pending further details, CoC to propose Vendor Management scope for initial show release. SY to follow up once more in January 12/18"
14,"Corey sent brief, Gaby responded with an official proposal. Hoping for a January start date. GD, 12/18"
15,"Victor scheduling procurement call with Gaby and Alexandra for the new year. GD, 12/18"
16,"Gemma Bell sending official RFP. Care of Chan and Gemma Bell to work together on a bid to pitch to Dishoom in NY in late Feb. GD, 12/18"
17,Greenlit by client! Moving into contracting/invoicing. SY 12/03
18,Reconnected with BFA & NYT to discuss format and programming in celebration of NYT Dumpling Week + Lunar New Year. Will pick back up in the new year once the venue has been confirmed. JA 12/18
19,SY and GD have intake call scheduled in Janu. SY 12/17
20,SY and GD have intake call scheduled next week. SY 12/05
21,"They’ll send a rough events calendar plus sample press/influencer targets, and then we can scope a potential role for us around talent and future cafe programming. SY 12/17"
22,Sent our agency deck and proposed SOW. Awaiting client decision on go/no-go. SY 12/17
23,Passed due to brand misalignment and bandwdith. SY 12/04
24,Greenlit by client! Pending contracting + intro call with Anicka to better understand creative vision. SY 12/17
25,Onboarding happend 11/25. Proposal due for 3rd week of December. SY 12/03
26,"2026's Nothing New was mentioned as potential collaboration. Client invited us to their event next week to chat 2026. SY, 12/04"
27,Client finalizing sponsorship conversations to provide final budget SY 12/17
28,SC and SY having 2026 planning call on 01/13 SY 12/04
29,"Gaby owes them a proposal outlining staffing, our fees, and high-level budget. Gaby to work with Zach on this in the new year. GD, 12/18"
30,Passed due to bandwidth around NYFW. SY 12/04
31,"Client wanted exploratory call as they build their marketing program for 2026. Not ready to work together, but shared our agencies fees and services. SY 12/17"
32,SY had intake on 11/19. Client to confirm budget and final events in coming weeks. SY 12/03
33,Working on contract next steps with client. Client asked for a rough proposal of budget allocation. GD to chat with team and get back to client next week. SY 09/26
34,Team presented proposal on 10/08. SY 10/08
35,Client wasn't ready to chat Q2 2026 in December. SY setting up on call for Jan to chat Q2 + Q3 2026. SY 12/18
