SECTION_NAME,FIELD_LABEL,FIELD_DESCRIPTION,FIELD TYPE
Event Overview,Event Name,,Short Text
Event Overview,Context + Concept,Can you tell me more about the event concept you have in mind?,Rich Text
Event Overview,Event Purpose,"Our most successful events are ones that have depth to it, meaning that there is a larger purpose outside of just promoting the brand. The event needs to have meaning so you're guests leave feeling like the event was impactful. 

With that, what message do you want guests to leave with? What are the brand values that you want to portray with this event? Can you tell me the purpose behind why you are gathering this group of people? 

Double down on the purpose:
- Why here? Why now?
- What problem are you trying to solve?
- Why is this important?
- What is your desired outcome?",Rich Text
Event Overview,Marketing Goals,"What are your specific marketing goals for this event?
Is it Press Coverage, UGC/Social Coverage, Community Building, Etc?",Rich Text
Event Overview,Event KPIs,"What is the one thing that would make this event a major success?
When thinking about how you'd recap this event to your team, what elements would you be highlighting as the recap stats?",Rich Text
Event Overview,Event Format,"How are you envisioning guest experience?
Can you walk me through the high level run of show you're thinking of?",Rich Text
Guests,Target Guest Count,"Can you confirm the target guest count?
Can you confirm how many folks from your team will be attending? Confirming they are a part of this final guest count?
Do you need us to budget for Uber Codes?",Rich Text
Guests,Target Demo,"""Can you confirm if this is an invite only event or an event for public consumers?
Can you confirm what your target demo is? Do you have some sample names you are hoping to attend?""
Can you describe the audience that your brand is trying to target?",Rich Text
Guests,Invites + Check-In,"Who is handling invites? Client? PR team? Care of Chan?
Who is handling check-in? PR team? Care of Chan?
Do you want us to budget for uber codes?

ONLY FOR PRODUCTIONS WE WANT TO INVITE OUR NETWORK TO: For our productions, Care of Chan offers to invite a small amount of our network to the event. Confirming all names will be shared with the client in advance for approval before invites go out. We typically offer 10 invites for standing events and 5 invites for seated. ",Rich Text
Guests,RSVP Management SOW,"What percentage of the full list would you like Care of Chan to own?
Do you need us to facilitate dressing for guests ahead of the event?
Do you need us to work check-in?
Do you need us to own the invite graphic? If you are owning, would Care of Chan be able to consult on the invite to ensure its enticing enough for guests?
Can you walk me through some of the target names you are hoping to secure for this event?",Rich Text
Creative,Programming/Brand Moments,"Is there a specific way that you'd like your brand to show up at the event? i.e. photo moment, product display, speaking moment, etc.
Is there specific programming that you'd like? Illustrators, workshops, talks, etc. ",Rich Text
Creative,High-level creative direction/vibe,"How do you describe the aesthetic of your brand? 
Give us three adjectives, phrases or references to help us understand the look & feel you're going for. Please be as specific as possible, and please send photos if you have them. 
- Example of adjectives, phrases or references: French boulangerie in the countryside, Sex-in-the-City, 1980s, Mid-century modern, undone 
Is there a specific campaign brief we should be working off when we're ideating creative?
What should the event color palette be?
What is the vibe that you'd like this event to evoke with guests?
Do you have lighting preferences?",Rich Text
Creative,Brand Guidelines,Can you share official brand guidelines and logo usage?,Rich Text
Logistics,Date(s),"When are you hoping to host your event?
Are these dates firm or flexible?
If flexible, what are your back up dates?",Event Schedule
Logistics,Time(s)/Run Time,"What time do you want to host your event?
How long do you want the event to run for?",Short Text
Logistics,Location(s),"What city are you hosting this in?
Is there a specific neighborhood that you would like us to host this?
Where are most of your guests traveling in from?",Locations
