name,category
Fresh,Style
Family Style,Style
Wine Bar,Style
City Views,Style
Cliffside,Style
Underground,Style
Artistic,Style
Fine Dining,Style
Seafood,Style
Industrial,Style
Creative,Style
Traditional,Style
Historic,Style
Seasonal,Style
Romantic,Style
Rooftop,Style
Coastal,Style
Intimate,Style
Fusion,Cuisines
Waterfront,Style
Beachfront,Style
Private Club,Style
Luxury,Style
Sophisticated,Style
Fresh Cuisine,Style
Garden Dining,Style
Eclectic,Style
Classic,Style
Elegant,Style
Casual,Style
Yacht Club,Style
Ocean Views,Style
Beachside,Style
Garden,Style
Sunset Views,Style
Elevated,Style
Panoramic,Style
Nautical,Style
Contemporary,Style
Italian,Cuisines
French,Cuisines
Asian Fusion,Cuisines
American,Cuisines
Mediterranean,Cuisines
Mexican,Cuisines
Indian,Cuisines
Japanese,Cuisines
Chinese,Cuisines
Thai,Cuisines
Korean,Cuisines
Vietnamese,Cuisines
Greek,Cuisines
Spanish,Cuisines
Lebanese,Cuisines
Moroccan,Cuisines
Turkish,Cuisines
Brazilian,Cuisines
Peruvian,Cuisines
Argentine,Cuisines
Contemporary,Cuisines
Farm-to-Table,Cuisines
Fusion,Cuisines
Seafood,Cuisines
Garden,Style
Middle Eastern,Cuisines
Music,Style
Trendy,Style
Tappas,Cuisines
Sports,Style
Dive,Style
Italian,Style
Modern,Style
Cafe,Style
